iter	Logloss
0	0.6663463673
1	0.6453871157
2	0.630965075
3	0.6239136082
4	0.6144335796
5	0.6041983958
6	0.5995491742
7	0.5939330489
8	0.5882641552
9	0.5859198068
10	0.5836562981
11	0.5792764519
12	0.5758303097
13	0.5735989209
14	0.5719967043
15	0.5704189151
16	0.566921759
17	0.5652393777
18	0.5623499693
19	0.5607116179
20	0.5593234441
21	0.5578451186
22	0.5568375252
23	0.5557394428
24	0.5543792052
25	0.5531780826
26	0.5524456003
27	0.5509377866
28	0.5502577353
29	0.5494761621
30	0.5485147242
31	0.5474125593
32	0.5467138164
33	0.5463803024
34	0.5461188558
35	0.5450848445
36	0.5436911711
37	0.5427367848
38	0.5418851012
39	0.5413780655
40	0.5405636639
41	0.5399614156
42	0.5388987595
43	0.5384331558
44	0.538037224
45	0.5372208993
46	0.5367045515
47	0.5364617291
48	0.5356429751
49	0.5351133003
50	0.5343885105
51	0.5337315707
52	0.5330207153
53	0.5317005264
54	0.5304310478
55	0.5293111697
56	0.5283055332
57	0.5270775541
58	0.5266074293
59	0.5252931448
60	0.524707665
61	0.5245357627
62	0.5240996473
63	0.5232184079
64	0.522891878
65	0.5224242837
66	0.5222140873
67	0.5212052118
68	0.5205792785
69	0.5198339077
70	0.519245054
71	0.5186934486
72	0.5181534495
73	0.5174210684
74	0.5168411218
75	0.5157762052
76	0.5149840716
77	0.5143548993
78	0.513351827
79	0.5123853957
80	0.5116424204
81	0.5109724572
82	0.5103773954
83	0.5095730144
84	0.5088040935
85	0.5081943551
86	0.5076847215
87	0.5068515946
88	0.5058452158
89	0.5047547922
90	0.5039633334
91	0.5028606286
92	0.5020132974
93	0.5009304314
94	0.500181383
95	0.4991356978
96	0.4982555382
97	0.4973476447
98	0.496417247
99	0.4954122516
100	0.4943219629
101	0.4934859681
102	0.49275605
103	0.4916369479
104	0.4908937364
105	0.4898206211
106	0.4891579793
107	0.4884247547
108	0.4874535324
109	0.4863285934
110	0.4855220531
111	0.4845480641
112	0.4837785022
113	0.482521136
114	0.4812005423
115	0.4799798508
116	0.4791871774
117	0.4785625262
118	0.4776588501
119	0.4767740007
120	0.4757678581
121	0.4748403283
122	0.4738511566
123	0.4730922226
124	0.4720154634
125	0.4712833185
126	0.4701925912
127	0.4691583437
128	0.4682552075
129	0.4673014622
130	0.466454772
131	0.4654919508
132	0.4646210694
133	0.4631820504
134	0.4622417671
135	0.4614628931
136	0.460660469
137	0.4596417753
138	0.4587259193
139	0.4581882483
140	0.4573590688
141	0.4563388232
142	0.4556289125
143	0.454939819
144	0.4539890091
145	0.4536805297
146	0.4525421962
147	0.4518796894
148	0.4511875931
149	0.4505271781
150	0.4494133393
151	0.448756332
152	0.4477139871
153	0.4469865319
154	0.445854204
155	0.4451495904
156	0.444115714
157	0.4436552724
158	0.443020803
159	0.442096276
160	0.4414913624
161	0.4405398439
162	0.4399453557
163	0.4391377357
164	0.4383677689
165	0.437705397
166	0.4370324985
167	0.4362158026
168	0.4356987463
169	0.4350548299
170	0.4340925485
171	0.4334927632
172	0.4329585336
173	0.4322052003
174	0.4315925266
175	0.4306040297
176	0.4291172694
177	0.42818451
178	0.427268789
179	0.4264325917
180	0.4258877004
181	0.4252495872
182	0.4240268714
183	0.4234928105
184	0.4225227353
185	0.4212982651
186	0.4201980908
187	0.4194251211
188	0.4185946596
189	0.4180992977
190	0.4174406372
191	0.4170455489
192	0.4165464419
193	0.4157729662
194	0.4146699578
195	0.413882649
196	0.4130030629
197	0.4127153333
198	0.4118818689
199	0.4109200599
200	0.4101436151
201	0.409423279
202	0.4087426204
203	0.4081929381
204	0.4068614465
205	0.4064506693
206	0.4058322261
207	0.4047479431
208	0.4042598352
209	0.4031174867
210	0.402456903
211	0.4019141373
212	0.4015190827
213	0.401378052
214	0.4006685462
215	0.400043895
216	0.3996031572
217	0.3992953189
218	0.3983057424
219	0.3973656615
220	0.3967241406
221	0.3958738066
222	0.3948961063
223	0.3941777945
224	0.3934157227
225	0.3927349291
226	0.3921496518
227	0.3912030592
228	0.3906902878
229	0.389611808
230	0.3889755167
231	0.3884791764
232	0.3877524635
233	0.3872561907
234	0.3866760417
235	0.3861340183
236	0.3851666085
237	0.3846616647
238	0.3842401246
239	0.3835510312
240	0.3830458174
241	0.3824850012
242	0.3818592365
243	0.3811545555
244	0.3807763031
245	0.3803197078
246	0.3797959036
247	0.3791965232
248	0.3785403931
249	0.3781102833
250	0.3779336238
251	0.377444605
252	0.376638537
253	0.3761542417
254	0.3756646493
255	0.3752055573
256	0.3746981842
257	0.3737003415
258	0.3733294106
259	0.3728811827
260	0.3720839544
261	0.3713817026
262	0.3706987497
263	0.369960869
264	0.3694776534
265	0.3690773017
266	0.3685445566
267	0.3677026236
268	0.3672260884
269	0.366552515
270	0.3657866307
271	0.3650362327
272	0.3643337785
273	0.3638193876
274	0.3634028073
275	0.3630468566
276	0.3622611335
277	0.3616410034
278	0.3609390889
279	0.3605739949
280	0.3600419921
281	0.3592987806
282	0.3585033068
283	0.3577924852
284	0.3571348368
285	0.3559856054
286	0.3554492165
287	0.3545750961
288	0.3543004912
289	0.3537255381
290	0.3531486619
291	0.3528412285
292	0.3525697613
293	0.3521912052
294	0.3514131747
295	0.3508515824
296	0.3504174913
297	0.3498324501
298	0.3491633641
299	0.348462057
